City Code,State Code,City name
CT01,ST15,Mumbai
CT02,ST15,Pune
CT03,ST24,Chennai
CT04,ST24,Coimbatore
CT05,ST25,Hyderabad
CT06,ST22,Jaipur
CT07,ST13,Kochi
CT08,ST29,Kolkata
CT09,ST34,Delhi
CT10,ST12,Bangalore
CT11,ST07,Ahmedabad
CT12,ST28,Noida
CT13,ST04,Patna
CT14,ST07,Surat
CT15,ST20,Bhubaneshwar
CT16,ST23,Gangtok
CT17,ST07,Vadodara
CT18,ST21,Ludhiana
CT19,ST12,Mysore
CT20,ST28,kanpur
CT21,ST27,Dehradun
CT22,ST14,Indore
CT23,ST12,Mangalore
CT24,ST13,Thrissur
CT25,ST01,Nellore
CT26,ST15,Aurangabad
CT27,ST11,Jamshedpur
CT28,ST11,Ranchi
CT29,ST24,Vellore
