State Code,State Name
ST01,Andhra Pradesh
ST02,Arunachal Pradesh
ST03,Assam
ST04,Bihar
ST05,Chhattisgarh
ST06,Goa
ST07,Gujarat
ST08,Haryana
ST09,Himachal Pradesh
ST10,Jammu and Kashmir
ST11,Jharkhand
ST12,Karnataka
ST13,Kerala
ST14,Madhya Pradesh
ST15,Maharashtra
ST16,Manipur
ST17,Meghalaya
ST18,Mizoram
ST19,Nagaland
ST20,Odisha
ST21,Punjab
ST22,Rajasthan
ST23,Sikkim
ST24,Tamil Nadu
ST25,Telangana
ST26,Tripura
ST27,Uttarakhand
ST28,Uttar Pradesh
ST29,West Bengal
ST30,Andaman and Nicobar Islands
ST31,Chandigarh
ST32,Dadra and Nagar Haveli
ST33,Daman and Diu
ST34,Delhi
ST35,Lakshadweep
ST36,Puducherry
